"","likelihood","bart","expr","rank_size","cancer"
"14",0.5,0.465,2.75690466593429,1,"THCA"
"4",0.5,0.768,2.66584442598856,2,"COAD_READ"
"2",0.5,0.34,2.60334573613955,3,"BRCA_1"
"8",0.5,0.325,2.58929573494957,4,"KIRP"
"1",0.5,0.239,2.585630634166,5,"BLCA"
"3",0.5,0.227,2.57156033018679,6,"BRCA_2"
"15",0.5,0.163,2.50111687424577,7,"UCEC"
"11",0.5,0.238,2.4867515909413,8,"LUSC"
"10",0.5,0.38,2.45619351999628,9,"LUAD"
"5",0.5,0.711,2.36281550536394,10,"HNSC"
"6",0.5,0.232,2.3432980877173,11,"KICH"
"12",0.5,0.339,2.34016848195437,12,"PRAD"
"13",0.5,0.674,2.28493300570386,13,"STES"
"7",0.5,0.493,2.19355965611101,14,"KIRC"
"9",0.5,0.45,1.64063338159606,15,"LIHC"
