"","likelihood","bart","expr","rank_size","cancer"
"14",0.5,0.235,0.757277657871855,1,"THCA"
"1",0.5,0.507,0.593108424280106,2,"BLCA"
"15",0.5,0.219,0.449303569051932,3,"UCEC"
"2",0.5,0.332,0.377880900266813,4,"BRCA_1"
"12",0.5,0.509,0.291941134100823,5,"PRAD"
"3",0.5,0.234,0.202194321554821,6,"BRCA_2"
"10",0.5,0.271,-0.0395112054374313,7,"LUAD"
"8",0.5,0.295,-0.183446197787713,8,"KIRP"
"7",0.5,0.183,-0.191118535404918,9,"KIRC"
"11",0.5,0.313,-0.684283507396128,10,"LUSC"
"9",0.5,0.461,-0.706764077395113,11,"LIHC"
"13",0.5,0.185,-0.847763063991347,12,"STES"
"6",0.5,0.428,-0.997457013296022,13,"KICH"
"4",0.5,0.129,-1.00425411970771,14,"COAD_READ"
"5",0.5,0.343,-1.55362151751322,15,"HNSC"
