"","likelihood","bart","expr","rank_size","cancer"
"6",0.5,0.7,0.592961521546298,1,"KICH"
"2",0.5,0.817,0.472436506257408,2,"BRCA_1"
"7",0.5,0.568,0.396822927669011,3,"KIRC"
"14",0.5,0.598,0.354006783123685,4,"THCA"
"12",0.5,0.788,0.345716013973076,5,"PRAD"
"10",0.5,0.665,0.320922787306165,6,"LUAD"
"15",0.5,0.602,0.28267142549835,7,"UCEC"
"1",0.5,0.664,0.170707404074333,8,"BLCA"
"8",0.5,0.567,0.0775644522476101,9,"KIRP"
"13",0.5,0.501,0.0321338877547663,10,"STES"
"3",0.5,0.536,0.00126502388279991,11,"BRCA_2"
"11",0.5,0.626,-0.0398879708808003,12,"LUSC"
"4",0.5,0.451,-0.0799661632700942,13,"COAD_READ"
"5",0.5,0.756,-0.574273608883794,14,"HNSC"
"9",0.5,0.796,-0.729909029634911,15,"LIHC"
