"","likelihood","bart","expr","rank_size","cancer"
"6",0.5,0.944,-2.30258492635768,1,"KICH"
"3",0.5,0.471,-2.30258500398741,2,"BRCA_2"
"12",0.5,0.541,-2.30258502156957,3,"PRAD"
"11",0.5,0.433,-2.30258503190456,4,"LUSC"
"13",0.5,0.616,-2.30258503923067,5,"STES"
"4",0.5,0.297,-2.3025850749159,6,"COAD_READ"
"2",0.5,0.168,-2.30258507722983,7,"BRCA_1"
"1",0.5,0.135,-2.30258509863884,8,"BLCA"
"9",0.5,0.86,-2.30258510920731,9,"LIHC"
"10",0.5,0.475,-2.30258512361511,10,"LUAD"
"5",0.5,0.429,-2.30258516380198,11,"HNSC"
"14",0.5,0.77,-2.30258517602746,12,"THCA"
"7",0.5,0.713,-2.30258519675948,13,"KIRC"
"15",0.5,0.166,-2.30258520800359,14,"UCEC"
"8",0.5,0.847,-2.30258522886032,15,"KIRP"
