"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.194,0.320835758931951,6,"BLCA"
"2",0.5,0.699,0.539341317887319,2,"BRCA_1"
"3",0.5,0.411,0.317476517747906,7,"BRCA_2"
"4",0.5,0.743,0.0355279648249895,13,"COAD_READ"
"5",0.5,0.75,-0.449415693782109,15,"HNSC"
"6",0.5,0.669,0.581095737533885,1,"KICH"
"7",0.5,0.702,0.223620494826196,9,"KIRC"
"8",0.5,0.819,0.305647298039993,8,"KIRP"
"9",0.5,0.783,-0.0115820331378299,14,"LIHC"
"10",0.5,0.785,0.176879642053522,11,"LUAD"
"11",0.5,0.843,0.210590379343026,10,"LUSC"
"12",0.5,0.593,0.367368075451275,5,"PRAD"
"13",0.5,0.618,0.0513651006799296,12,"STES"
"14",0.5,0.794,0.535501276539439,3,"THCA"
"15",0.5,0.439,0.370947976900201,4,"UCEC"
