"","likelihood","bart","expr","rank_size","cancer"
"2",0.5,0.511,1.49728890477334,1,"BRCA_1"
"12",0.5,0.321,1.444106147135,2,"PRAD"
"13",0.5,0.355,1.35067161105822,3,"STES"
"7",0.5,0.452,1.3346214493093,4,"KIRC"
"10",0.5,0.252,1.3330707136644,5,"LUAD"
"15",0.5,0.576,1.27729843597757,6,"UCEC"
"14",0.5,0.19,1.27633142815483,7,"THCA"
"3",0.5,0.305,1.26111535421643,8,"BRCA_2"
"11",0.5,0.227,1.22574496487829,9,"LUSC"
"1",0.5,0.711,1.20821253098662,10,"BLCA"
"6",0.5,0.31,1.16335922631497,11,"KICH"
"4",0.5,0.35,1.13292795753333,12,"COAD_READ"
"8",0.5,0.455,1.12130097114708,13,"KIRP"
"5",0.5,0.266,0.997578004864314,14,"HNSC"
"9",0.5,0.279,0.462929444359517,15,"LIHC"
