"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.496,-1.76734063146097,12,"BLCA"
"2",0.5,0.169,-1.17439647616228,6,"BRCA_1"
"3",0.5,0.178,-1.57976520244172,10,"BRCA_2"
"4",0.5,0.0620000000000001,-2.07622046608809,15,"COAD_READ"
"5",0.5,0.277,-1.9311474800384,13,"HNSC"
"6",0.5,0.863,-0.863199340627225,2,"KICH"
"7",0.5,0.115,-1.07087254427564,4,"KIRC"
"8",0.5,0.078,-1.30448380730204,7,"KIRP"
"9",0.5,0.148,-1.9704917031786,14,"LIHC"
"10",0.5,0.122,-1.30714818933559,8,"LUAD"
"11",0.5,0.106,-1.63956680986299,11,"LUSC"
"12",0.5,0.277,-1.05155444381302,3,"PRAD"
"13",0.5,0.087,-1.08195148779116,5,"STES"
"14",0.5,0.193,-0.370346056017134,1,"THCA"
"15",0.5,0.242,-1.54399003462441,9,"UCEC"
