"","likelihood","bart","expr","rank_size","cancer"
"9",0.5,0.85,1.00573662445154,1,"LIHC"
"14",0.5,0.792,0.843957012834582,2,"THCA"
"12",0.5,0.817,0.812572324687106,3,"PRAD"
"2",0.5,0.761,0.467889167044716,4,"BRCA_1"
"7",0.5,0.729,0.341783997838855,5,"KIRC"
"6",0.5,0.472,0.312796762614947,6,"KICH"
"8",0.5,0.638,0.238198165019339,7,"KIRP"
"15",0.5,0.496,0.124187840721474,8,"UCEC"
"4",0.5,0.593,0.110733891645167,9,"COAD_READ"
"1",0.5,0.415,0.0987560636312684,10,"BLCA"
"3",0.5,0.435,-0.0599205251947328,11,"BRCA_2"
"10",0.5,0.656,-0.111410720113324,12,"LUAD"
"13",0.5,0.718,-0.248476966353056,13,"STES"
"11",0.5,0.601,-0.295449133726808,14,"LUSC"
"5",0.5,0.651,-0.564111405252175,15,"HNSC"
