"","likelihood","bart","expr","rank_size","cancer"
"14",0.5,0.135,-2.00459725946831,1,"THCA"
"15",0.5,0.319,-2.1718817678872,2,"UCEC"
"13",0.5,0.081,-2.21272933145965,3,"STES"
"8",0.5,0.358,-2.23277831379496,4,"KIRP"
"6",0.5,0.812,-2.23329958926571,5,"KICH"
"11",0.5,0.142,-2.23829801477721,6,"LUSC"
"7",0.5,0.201,-2.24129605472765,7,"KIRC"
"12",0.5,0.161,-2.25130553214919,8,"PRAD"
"10",0.5,0.114,-2.26281606030761,9,"LUAD"
"1",0.5,0.529,-2.26292903306809,10,"BLCA"
"2",0.5,0.327,-2.26332078481165,11,"BRCA_1"
"3",0.5,0.789,-2.26592120668369,12,"BRCA_2"
"4",0.5,0.124,-2.27034692214353,13,"COAD_READ"
"5",0.5,0.214,-2.27838134061803,14,"HNSC"
"9",0.5,0.14,-2.28314274484183,15,"LIHC"
