"","likelihood","bart","expr","rank_size","cancer"
"2",0.5,0.87,1.16650269406761,1,"BRCA_1"
"3",0.5,0.826,1.15947763332779,2,"BRCA_2"
"14",0.5,0.818,1.10925147642525,3,"THCA"
"15",0.5,0.663,1.07127034867439,4,"UCEC"
"6",0.5,0.14,0.992415662799781,5,"KICH"
"12",0.5,0.855,0.983147034936179,6,"PRAD"
"1",0.5,0.717,0.960242344045735,7,"BLCA"
"11",0.5,0.555,0.904503490613081,8,"LUSC"
"4",0.5,0.823,0.771777712762294,9,"COAD_READ"
"13",0.5,0.584,0.759787012913852,10,"STES"
"7",0.5,0.717,0.753527993600933,11,"KIRC"
"5",0.5,0.832,0.7510250127745,12,"HNSC"
"10",0.5,0.867,0.718108798535201,13,"LUAD"
"8",0.5,0.753,0.589116420742245,14,"KIRP"
"9",0.5,0.921,0.463080427122796,15,"LIHC"
