"","likelihood","bart","expr","rank_size","cancer"
"10",0.5,0.437,-0.0717873537233502,1,"LUAD"
"1",0.5,0.152,-0.0805327366647696,2,"BLCA"
"11",0.5,0.345,-0.126621396088208,3,"LUSC"
"13",0.5,0.595,-0.139172910601619,4,"STES"
"2",0.5,0.257,-0.204099470959396,5,"BRCA_1"
"7",0.5,0.577,-0.217021866056351,6,"KIRC"
"3",0.5,0.106,-0.224601920398717,7,"BRCA_2"
"15",0.5,0.13,-0.232247796983382,8,"UCEC"
"8",0.5,0.28,-0.261556135696513,9,"KIRP"
"4",0.5,0.245,-0.316399296103572,10,"COAD_READ"
"12",0.5,0.646,-0.327739938881138,11,"PRAD"
"14",0.5,0.512,-0.364739615001975,12,"THCA"
"6",0.5,0.22,-0.513744256763767,13,"KICH"
"5",0.5,0.496,-0.751803857664941,14,"HNSC"
"9",0.5,0.342,-0.787619967036006,15,"LIHC"
