"","likelihood","bart","expr","rank_size","cancer"
"6",0.5,0.889,1.9584563910057,1,"KICH"
"2",0.5,0.621,1.63432379496208,2,"BRCA_1"
"1",0.5,0.485,1.58045436694885,3,"BLCA"
"13",0.5,0.125,1.54913308229973,4,"STES"
"4",0.5,0.124,1.53232446396452,5,"COAD_READ"
"10",0.5,0.323,1.40742191149418,6,"LUAD"
"12",0.5,0.509,1.30577776349499,7,"PRAD"
"3",0.5,0.586,1.2936817377303,8,"BRCA_2"
"7",0.5,0.236,1.26292237519888,9,"KIRC"
"15",0.5,0.226,1.25219385115974,10,"UCEC"
"14",0.5,0.496,1.24627014050726,11,"THCA"
"11",0.5,0.521,1.15866832036784,12,"LUSC"
"8",0.5,0.399,1.07914437874167,13,"KIRP"
"5",0.5,0.559,0.562644869520598,14,"HNSC"
"9",0.5,0.553,0.0353554369868938,15,"LIHC"
