"","likelihood","bart","expr","rank_size","cancer"
"15",0.5,0.146,1.57290033222526,1,"UCEC"
"1",0.5,0.215,1.48117286628064,2,"BLCA"
"11",0.5,0.572,1.31330100729269,3,"LUSC"
"3",0.5,0.114,1.26370616503759,4,"BRCA_2"
"14",0.5,0.377,1.1709091883941,5,"THCA"
"2",0.5,0.326,1.12987632160679,6,"BRCA_1"
"8",0.5,0.369,1.10302125116555,7,"KIRP"
"5",0.5,0.423,1.09930314954353,8,"HNSC"
"12",0.5,0.693,1.0870462907648,9,"PRAD"
"10",0.5,0.454,1.00698849690861,10,"LUAD"
"7",0.5,0.602,0.962352377416338,11,"KIRC"
"4",0.5,0.278,0.952024099510312,12,"COAD_READ"
"13",0.5,0.612,0.900817559452712,13,"STES"
"6",0.5,0.202,0.650726961303673,14,"KICH"
"9",0.5,0.455,0.430093388490213,15,"LIHC"
