"","likelihood","bart","expr","rank_size","cancer"
"15",0.5,0.972,2.32653607797067,1,"UCEC"
"14",0.5,0.857,2.22952098314779,2,"THCA"
"10",0.5,0.884,2.13534330194981,3,"LUAD"
"12",0.5,0.815,2.07826529568015,4,"PRAD"
"2",0.5,0.926,2.04624607857702,5,"BRCA_1"
"8",0.5,0.963,1.99269752821969,6,"KIRP"
"3",0.5,0.894,1.95952614096899,7,"BRCA_2"
"11",0.5,0.636,1.94622249857523,8,"LUSC"
"13",0.5,0.823,1.91963749855847,9,"STES"
"1",0.5,0.877,1.87485789064026,10,"BLCA"
"4",0.5,0.846,1.82669455786267,11,"COAD_READ"
"7",0.5,0.91,1.7938907083199,12,"KIRC"
"6",0.5,0.261,1.62405772979585,13,"KICH"
"9",0.5,0.861,1.40926637961606,14,"LIHC"
"5",0.5,0.745,1.26387731326308,15,"HNSC"
