"","likelihood","bart","expr","rank_size","cancer"
"13",0.5,0.723,2.06619921372823,1,"STES"
"4",0.5,0.289,2.02480344771855,2,"COAD_READ"
"2",0.5,0.31,2.01643770583209,3,"BRCA_1"
"6",0.5,0.219,2.01497347390872,4,"KICH"
"3",0.5,0.089,2.01212975501935,5,"BRCA_2"
"15",0.5,0.108,1.98519826750057,6,"UCEC"
"11",0.5,0.52,1.97763534142097,7,"LUSC"
"1",0.5,0.121,1.89213953343843,8,"BLCA"
"7",0.5,0.712,1.84551866477527,9,"KIRC"
"12",0.5,0.715,1.79978525330525,10,"PRAD"
"5",0.5,0.448,1.77213783096528,11,"HNSC"
"14",0.5,0.512,1.75483898472715,12,"THCA"
"8",0.5,0.361,1.74772191851243,13,"KIRP"
"10",0.5,0.5,1.70796060028564,14,"LUAD"
"9",0.5,0.414,1.20550999285315,15,"LIHC"
